T1.KCD01.00.BHZ | 2007-10-02T06:30:00.015000Z - 2007-10-02T07:00:00.015000Z | 5.0 Hz, 9001 samples
T1.KCD02.00.BHZ | 2007-10-02T06:30:00.000000Z - 2007-10-02T07:00:00.000000Z | 5.0 Hz, 9001 samples
T1.KCD03.00.BHZ | 2007-10-02T06:30:00.015000Z - 2007-10-02T07:00:00.015000Z | 5.0 Hz, 9001 samples
T1.KCD04.00.BHZ | 2007-10-02T06:30:00.015000Z - 2007-10-02T07:00:00.015000Z | 5.0 Hz, 9001 samples
T1.KCD05.00.BHZ | 2007-10-02T06:30:00.015000Z - 2007-10-02T07:00:00.015000Z | 5.0 Hz, 9001 samples
T1.KCD06.00.BHZ | 2007-10-02T06:30:00.015000Z - 2007-10-02T07:00:00.015000Z | 5.0 Hz, 9001 samples
T1.KCD07.00.BHZ | 2007-10-02T06:30:00.015000Z - 2007-10-02T07:00:00.015000Z | 5.0 Hz, 9001 samples
T1.KCD09.00.BHZ | 2007-10-02T06:30:00.015000Z - 2007-10-02T07:00:00.015000Z | 5.0 Hz, 9001 samples
T1.KCD10.00.BHZ | 2007-10-02T06:30:00.015000Z - 2007-10-02T07:00:00.015000Z | 5.0 Hz, 9001 samples
T1.KCD11.00.BHZ | 2007-10-02T06:30:00.015000Z - 2007-10-02T07:00:00.015000Z | 5.0 Hz, 9001 samples
T1.KDB02.00.BHZ | 2007-10-02T06:30:00.015000Z - 2007-10-02T07:00:00.015000Z | 5.0 Hz, 9001 samples
T1.KDB04.00.BHZ | 2007-10-02T06:30:00.010000Z - 2007-10-02T07:00:00.010000Z | 5.0 Hz, 9001 samples
T1.KDB05.00.BHZ | 2007-10-02T06:30:00.015000Z - 2007-10-02T07:00:00.015000Z | 5.0 Hz, 9001 samples
T1.KDB06.00.BHZ | 2007-10-02T06:30:00.020000Z - 2007-10-02T07:00:00.020000Z | 5.0 Hz, 9001 samples
T1.KDC02.00.BHZ | 2007-10-02T06:30:00.015000Z - 2007-10-02T07:00:00.015000Z | 5.0 Hz, 9001 samples
T1.KDC04.00.BHZ | 2007-10-02T06:30:00.015000Z - 2007-10-02T07:00:00.015000Z | 5.0 Hz, 9001 samples
T1.KDC05.00.BHZ | 2007-10-02T06:30:00.015000Z - 2007-10-02T07:00:00.015000Z | 5.0 Hz, 9001 samples
T1.KDC06.00.BHZ | 2007-10-02T06:30:00.015000Z - 2007-10-02T07:00:00.015000Z | 5.0 Hz, 9001 samples
T1.KDC07.00.BHZ | 2007-10-02T06:30:00.015000Z - 2007-10-02T07:00:00.015000Z | 5.0 Hz, 9001 samples
T1.KDF01.00.BHZ | 2007-10-02T06:30:00.015000Z - 2007-10-02T07:00:00.015000Z | 5.0 Hz, 9001 samples
T1.KDF03.00.BHZ | 2007-10-02T06:30:00.000000Z - 2007-10-02T07:00:00.000000Z | 5.0 Hz, 9001 samples
T1.KDF04.00.BHZ | 2007-10-02T06:30:00.020000Z - 2007-10-02T07:00:00.020000Z | 5.0 Hz, 9001 samples
T1.KDF05.00.BHZ | 2007-10-02T06:30:00.015000Z - 2007-10-02T07:00:00.015000Z | 5.0 Hz, 9001 samples
T1.KDF06.00.BHZ | 2007-10-02T06:30:00.005000Z - 2007-10-02T07:00:00.005000Z | 5.0 Hz, 9001 samples
T1.KDF07.00.BHZ | 2007-10-02T06:30:00.000000Z - 2007-10-02T07:00:00.000000Z | 5.0 Hz, 9001 samples
T1.KDF09.00.BHZ | 2007-10-02T06:30:00.015000Z - 2007-10-02T07:00:00.015000Z | 5.0 Hz, 9001 samples
T1.KGZ01.00.BHZ | 2007-10-02T06:30:00.010000Z - 2007-10-02T07:00:00.010000Z | 5.0 Hz, 9001 samples
T1.KHS01.00.BHZ | 2007-10-02T06:30:00.015000Z - 2007-10-02T07:00:00.015000Z | 5.0 Hz, 9001 samples
T1.KJC01.00.BHZ | 2007-10-02T06:30:00.015000Z - 2007-10-02T07:00:00.015000Z | 5.0 Hz, 9001 samples
T1.KJC02.00.BHZ | 2007-10-02T06:30:00.015000Z - 2007-10-02T07:00:00.015000Z | 5.0 Hz, 9001 samples
T1.KJC04.00.BHZ | 2007-10-02T06:30:00.015000Z - 2007-10-02T07:00:00.015000Z | 5.0 Hz, 9001 samples
T1.KJC05.00.BHZ | 2007-10-02T06:30:00.015000Z - 2007-10-02T07:00:00.015000Z | 5.0 Hz, 9001 samples
T1.KJL01.00.BHZ | 2007-10-02T06:30:00.020000Z - 2007-10-02T07:00:00.020000Z | 5.0 Hz, 9001 samples
T1.KJL02.00.BHZ | 2007-10-02T06:30:00.010000Z - 2007-10-02T07:00:00.010000Z | 5.0 Hz, 9001 samples
T1.KJL03.00.BHZ | 2007-10-02T06:30:00.005000Z - 2007-10-02T07:00:00.005000Z | 5.0 Hz, 9001 samples
T1.KJL04.00.BHZ | 2007-10-02T06:30:00.015000Z - 2007-10-02T07:00:00.015000Z | 5.0 Hz, 9001 samples
T1.KJL06.00.BHZ | 2007-10-02T06:30:00.015000Z - 2007-10-02T07:00:00.015000Z | 5.0 Hz, 9001 samples
T1.KJL07.00.BHZ | 2007-10-02T06:30:00.005000Z - 2007-10-02T07:00:00.005000Z | 5.0 Hz, 9001 samples
T1.KJY01.00.BHZ | 2007-10-02T06:30:00.015000Z - 2007-10-02T07:00:00.015000Z | 5.0 Hz, 9001 samples
T1.KKD01.00.BHZ | 2007-10-02T06:30:00.015000Z - 2007-10-02T07:00:00.015000Z | 5.0 Hz, 9001 samples
T1.KKD02.00.BHZ | 2007-10-02T06:30:00.020000Z - 2007-10-02T07:00:00.020000Z | 5.0 Hz, 9001 samples
T1.KKD03.00.BHZ | 2007-10-02T06:30:00.015000Z - 2007-10-02T07:00:00.015000Z | 5.0 Hz, 9001 samples
T1.KKD04.00.BHZ | 2007-10-02T06:30:00.015000Z - 2007-10-02T07:00:00.015000Z | 5.0 Hz, 9001 samples
T1.KKD05.00.BHZ | 2007-10-02T06:30:00.020000Z - 2007-10-02T07:00:00.020000Z | 5.0 Hz, 9001 samples
T1.KKD07.00.BHZ | 2007-10-02T06:30:00.010000Z - 2007-10-02T07:00:00.010000Z | 5.0 Hz, 9001 samples
T1.KKD08.00.BHZ | 2007-10-02T06:30:00.020000Z - 2007-10-02T07:00:00.020000Z | 5.0 Hz, 9001 samples
T1.KKD09.00.BHZ | 2007-10-02T06:30:00.005000Z - 2007-10-02T07:00:00.005000Z | 5.0 Hz, 9001 samples
T1.KKD11.00.BHZ | 2007-10-02T06:30:00.015000Z - 2007-10-02T07:00:00.015000Z | 5.0 Hz, 9001 samples
T1.KKD12.00.BHZ | 2007-10-02T06:30:00.005000Z - 2007-10-02T07:00:00.005000Z | 5.0 Hz, 9001 samples
T1.KKD13.00.BHZ | 2007-10-02T06:30:00.015000Z - 2007-10-02T07:00:00.015000Z | 5.0 Hz, 9001 samples
T1.KLD02.00.BHZ | 2007-10-02T06:30:00.015000Z - 2007-10-02T07:00:00.015000Z | 5.0 Hz, 9001 samples
T1.KLD03.00.BHZ | 2007-10-02T06:30:00.015000Z - 2007-10-02T07:00:00.015000Z | 5.0 Hz, 9001 samples
T1.KLH01.00.BHZ | 2007-10-02T06:30:00.005000Z - 2007-10-02T07:00:00.005000Z | 5.0 Hz, 9001 samples
T1.KLH02.00.BHZ | 2007-10-02T06:30:00.005000Z - 2007-10-02T07:00:00.005000Z | 5.0 Hz, 9001 samples
T1.KLH03.00.BHZ | 2007-10-02T06:30:00.020000Z - 2007-10-02T07:00:00.020000Z | 5.0 Hz, 9001 samples
T1.KLH04.00.BHZ | 2007-10-02T06:30:00.010000Z - 2007-10-02T07:00:00.010000Z | 5.0 Hz, 9001 samples
T1.KLS01.00.BHZ | 2007-10-02T06:30:00.015000Z - 2007-10-02T07:00:00.015000Z | 5.0 Hz, 9001 samples
